epaxos,0.76,fastpaxos,0.72,
epaxos,0.69,fastpaxos,0.68,
epaxos,0.76,fastpaxos,0.62,
epaxos,0.88,fastpaxos,0.76,
epaxos,0.76,fastpaxos,0.83,
epaxos,0.73,fastpaxos,0.78,
epaxos,0.82,fastpaxos,0.70,
epaxos,0.73,fastpaxos,0.81,
epaxos,0.77,fastpaxos,0.73,
epaxos,0.47,fastpaxos,0.71,
epaxos,0.27,fastpaxos,0.87,
epaxos,0.91,fastpaxos,0.89,
epaxos,0.89,fastpaxos,0.82,
epaxos,0.27,fastpaxos,0.78,
epaxos,0.81,fastpaxos,0.83,
epaxos,0.74,fastpaxos,0.72,
epaxos,0.59,fastpaxos,0.80,
epaxos,0.24,fastpaxos,0.66,
epaxos,0.57,fastpaxos,0.79,
epaxos,0.94,fastpaxos,0.50,
epaxos,0.72,fastpaxos,0.88,
epaxos,0.81,fastpaxos,0.90,
epaxos,0.81,fastpaxos,0.67,
epaxos,0.69,fastpaxos,0.73,
epaxos,0.97,fastpaxos,0.99,
epaxos,0.84,fastpaxos,0.82,
epaxos,0.16,fastpaxos,0.84,
epaxos,0.22,fastpaxos,0.54,
epaxos,0.78,fastpaxos,0.79,
epaxos,0.80,fastpaxos,0.71,
epaxos,0.31,fastpaxos,0.74,
epaxos,0.75,fastpaxos,0.73,
epaxos,0.91,fastpaxos,0.87,
epaxos,0.66,fastpaxos,0.47,
epaxos,0.63,fastpaxos,0.86,
epaxos,0.44,fastpaxos,0.58,
epaxos,0.81,fastpaxos,0.69,
epaxos,0.67,fastpaxos,0.79,
epaxos,0.45,fastpaxos,0.77,
epaxos,0.90,fastpaxos,0.83,
epaxos,0.84,fastpaxos,0.77,
epaxos,0.49,fastpaxos,0.73,
epaxos,0.65,fastpaxos,0.64,
epaxos,0.27,fastpaxos,0.78,
epaxos,0.67,fastpaxos,0.60,
epaxos,0.76,fastpaxos,0.82,
epaxos,0.85,fastpaxos,0.67,
epaxos,0.66,fastpaxos,0.60,
epaxos,0.76,fastpaxos,0.77,
epaxos,0.75,fastpaxos,0.77,
epaxos,0.74,fastpaxos,0.72,
epaxos,0.77,fastpaxos,0.76,
epaxos,0.90,fastpaxos,0.92,
epaxos,0.16,fastpaxos,0.76,
epaxos,0.79,fastpaxos,0.56,
epaxos,0.60,fastpaxos,0.69,
epaxos,0.60,fastpaxos,0.59,
epaxos,0.70,fastpaxos,0.64,
epaxos,0.33,fastpaxos,0.68,
epaxos,0.55,fastpaxos,0.67,
epaxos,0.81,fastpaxos,0.73,
epaxos,0.57,fastpaxos,0.73,
epaxos,0.86,fastpaxos,0.81,
epaxos,0.56,fastpaxos,0.66,
epaxos,0.84,fastpaxos,0.79,
epaxos,0.69,fastpaxos,0.74,
epaxos,0.38,fastpaxos,0.81,
epaxos,0.83,fastpaxos,0.86,
epaxos,0.09,fastpaxos,0.63,
epaxos,0.63,fastpaxos,0.81,
epaxos,0.43,fastpaxos,0.50,
epaxos,0.67,fastpaxos,0.61,
epaxos,0.74,fastpaxos,0.76,
epaxos,0.72,fastpaxos,0.86,
epaxos,0.23,fastpaxos,0.88,
epaxos,0.70,fastpaxos,0.68,
epaxos,0.96,fastpaxos,0.88,
epaxos,0.49,fastpaxos,0.76,
epaxos,0.48,fastpaxos,0.82,
epaxos,0.16,fastpaxos,0.68,
epaxos,0.61,fastpaxos,0.67,
epaxos,0.60,fastpaxos,0.66,
epaxos,0.81,fastpaxos,0.61,
epaxos,0.77,fastpaxos,0.89,
epaxos,0.85,fastpaxos,0.82,
epaxos,0.59,fastpaxos,0.71,
epaxos,0.71,fastpaxos,0.80,
epaxos,0.83,fastpaxos,0.75,
epaxos,0.85,fastpaxos,0.80,
epaxos,0.80,fastpaxos,0.82,
epaxos,0.70,fastpaxos,0.77,
epaxos,0.86,fastpaxos,0.85,
epaxos,0.72,fastpaxos,0.73,
epaxos,0.61,fastpaxos,0.60,
epaxos,0.24,fastpaxos,0.76,
epaxos,0.66,fastpaxos,0.58,
epaxos,0.92,fastpaxos,0.86,
epaxos,0.57,fastpaxos,0.76,
epaxos,0.86,fastpaxos,0.86,
epaxos,0.39,fastpaxos,0.78,
